year,age_for_analyses,doy,girth,s_length
1968,10,234,161,NA
1977,15,236,157,NA
1977,9,228,170,NA
1977,15,230,185,NA
1977,9,231,155,NA
1977,6,232,173,NA
1977,11,237,114,NA
1980,7,213,130,NA
1980,10,220,161,NA
1980,15,214,153,NA
1982,7,234,133.5,NA
1982,8,235,126.5,NA
1980,9,240,135,NA
1998,10,225,122,193
1998,10,258,122,NA
1998,13,223,134,199
1998,13,260,141,NA
2002,12,232,133,190
1998,10,223,144,192
2002,20,231,118,196
1992,7,224,130,194
1998,13,222,140,195
1998,13,260,127,NA
2012,25,252,132,207
2002,6,233,116,196
2002,5,233,119,194
2012,28,266,122,193
1998,14,223,104,194
1998,14,262,119,NA
1998,5,223,112,189
1998,5,260,110,NA
1998,4,225,108,196
1998,6,225,130,191
1998,6,261,120,NA
2013,21,248,101,186
1999,5,249,100,200
2002,19,231,123,205
2002,8,233,117,198
2021,28,245,112,192
2012,9,262,97,197
2020,17,253,139,205
2012,7,253,125,212
2011,7,253,126,200
2013,5,250,117,192
2013,7,255,145,196
2013,5,252,98,177
2020,9,257,164,204
2012,8,255,129,199
2012,5,255,110,194
2013,6,246,115,196
2012,5,254,109,189
2012,7,255,110,195
2020,18,246,140,194
2013,15,250,118,191
2020,14,240,122,192
2021,15,249,124,194
2013,5,248,102,194
2015,10,221,134,207
2013,10,245,124,197
2013,17,246,125,197
2013,10,247,125,197
2013,17,248,121,201
2013,5,249,105,186
2013,8,253,95,182
2020,5,244,113,187
2015,5,214,110,183
2015,12,215,118,191
2020,19,245,146,200
2020,22,246,150,198
2021,20,242,139,196
